Parasite,PrefMammal,Secondary
Megabothris_acerbus,TAST,
Cuterebra_fontinella,PELE,
Orchopeas_leucopus,PELE,
Megabothris_quirini,ZAHU,
Megabothris_asio,MIPE,
Ixodes_scapularis_nymph,PELE,
Ixodes_scapularis_nymph,ZAHU,Secondary_host
Ixodes_scapularis_larva,PELE,
Hyperlaelaps_,MIPE,
Ctenophthalmus_pseudagyrtes,PELE,
Ctenophthalmus_pseudagyrtes,TAST,Secondary_host
Unknown Mesostigmata_,PELE,
Androlaelaps_,ZAHU,
Monopsyllus_vison,TAST,
Peromyscopsylla_scotti,PELE,
Peromyscopsylla_hesperomys,PELE,
Orchopeas_howardi,PELE,
Epitedia_wenmanni,PELE,
Epitedia_wenmanni,ZAHU,Secondary_host
Doratopsylla_blarinae,BLBR,
