Habitat,County,Site,Date,Techs,Station,Canopy,Weins10,Weins20,Weins30,Weins40,Weins50,Weins60,%Tree,%Shrub,%Grass,%Forb,%Bare,%DeadVeg,Other
Farm,Chittenden,Hort2,17/05/2019,EB,1,0,3,0,0,0,0,0,0,0,10,85,5,0,
Farm,Chittenden,Hort2,17/05/2019,EB,4,0,3,0,0,0,0,0,0,0,85,15,0,0,
Farm,Chittenden,Hort2,17/05/2019,EB,7,0,4,0,0,0,0,0,0,0,95,5,0,0,
Farm,Chittenden,Hort2,17/05/2019,EB,10,0,0,0,0,0,0,0,0,0,0,15,0,85,
Farm,Chittenden,Hort2,17/05/2019,EB,13,9.5,0,0,0,0,0,0,0,0,10,30,60,0,
Farm,Chittenden,Hort2,17/05/2019,EB,16,10.75,0,0,0,0,0,0,0,0,5,5,70,20,
Farm,Chittenden,Hort2,17/05/2019,EB,19,12,0,0,0,0,0,0,0,0,0,30,70,0,
Farm,Chittenden,Hort2,17/05/2019,EB,22,12.25,1,0,0,0,0,0,0,0,5,10,25,60,
Farm,Chittenden,Hort2,17/05/2019,EB,25,0,0,0,0,0,0,0,0,0,0,5,0,95,
Farm,Chittenden,Hort2,17/05/2019,EB,28,0,0,0,0,0,0,0,0,0,0,15,20,65,
Farm,Chittenden,Hort3,19/05/2019,EB,1,15.5,1,0,0,0,0,0,0,0,20,10,0,70,
Farm,Chittenden,Hort3,19/05/2019,EB,4,12.25,4,0,0,0,0,0,0,0,100,0,0,0,
Farm,Chittenden,Hort3,19/05/2019,EB,7,12.25,2,0,0,0,0,0,0,0,15,5,80,0,
Farm,Chittenden,Hort3,19/05/2019,EB,10,15.25,0,0,0,0,0,0,0,0,60,10,0,30,
Farm,Chittenden,Hort3,19/05/2019,EB,13,6.25,1,0,1,0,0,0,0,0,80,5,0,15,
Farm,Chittenden,Hort3,19/05/2019,EB,16,12,0,0,0,0,0,0,0,0,10,5,0,85,
